id,match_id,frame_number,timestamp,tracked_objects,ball_position,created_at,analysis_scope,speed,distance,has_ball,object_type,tracker_id,team_id,x,y,x_transformed,y_transformed
c0b73c10-8e9d-4341-beac-0f59c9eec62f,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4222,1,514,388,6.74967575073242,41.003604888916
ff2ebf16-b13a-433c-a584-107d6c99878a,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4466,1,618,330,9.99641036987305,33.2450408935547
e7417c1f-a175-482b-8020-cbc77315b03c,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4483,2,452,277,5.16440725326538,25.8420734405518
b8e063a6-7618-4658-bdce-6bcb1450bdab,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,true,player,4402,1,754,224,14.6478424072266,18.120023727417
fefc5e13-b858-43a2-bccc-9aad49ff7b61,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4417,1,747,279,14.1149368286133,26.1270980834961
bfb47789-010b-434a-a8c1-832ad660c818,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4479,2,529,310,7.40629482269287,30.4876880645752
603d0484-32ae-49dd-aa16-0efcc501fda7,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4476,1,670,299,11.6846771240234,28.9525928497314
026e882c-7973-432b-a3d2-efabb7b0ede7,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4463,1,354,255,2.20660161972046,22.6765956878662
8b07f82f-7c39-4a3c-8354-06ac36beadd9,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4475,2,627,239,10.6416721343994,20.3390731811523
feb8f593-c33f-4b1f-92fe-3efc8054b18b,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4375,1,542,288,7.86407232284546,27.4041137695312
30b86cca-5aed-4adc-9fab-5051939b688f,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4453,2,675,248,12.0783185958862,21.6576366424561
0b57f815-1254-499d-9735-8fb0766f50d1,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4478,1,666,225,11.9120454788208,18.2688007354736
4048fe48-3581-4f3e-8676-a745606e6c90,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3464,2,597,91,null,null
d45edb76-5206-445e-803f-f0ad56a8e880,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3503,1,833,111,17.9230308532715,0.491190791130066
4df03ad8-68fb-4d36-9a37-5f8b25092a15,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,2247,1,992,269,21.6378993988037,24.6974258422852
b0f30199-2f9d-4577-bd3f-05a702948918,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,2953,1,1004,169,22.9187965393066,9.74660873413086
cf1cf596-e24b-475a-9238-24f3b988656b,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3486,1,964,111,22.1842231750488,0.491190791130066
105f5a5d-9aa3-4279-8e41-147e50e7281d,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3271,2,539,361,7.55476856231689,37.434986114502
60f2c4b8-8b22-484e-b3e8-5abf2bc3e698,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3307,1,599,271,9.65315532684326,24.9842739105225
be2fc03a-6d6b-41db-9e8b-9ba7a68c09c5,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,true,player,3585,2,932,99,null,null
0eaac3b8-bea3-45f4-8610-e5bb56560ffa,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4091,1,329,255,1.4404205083847,22.6765956878662
f542bb36-45aa-4997-95ca-d5eb42576b9a,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3590,1,613,105,null,null
40fdd450-6d1a-4e14-8079-1f94835e797c,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3524,2,367,240,2.62080216407776,20.4860534667969
981cdf29-a658-4414-bfe4-233bd405766a,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3043,1,774,256,15.0723924636841,22.8216953277588
dba1caea-a8e7-41cf-bffe-6637aeac3f87,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3535,1,498,117,7.00816679000854,1.46981370449066
c891b181-81ea-4f0d-89d5-af8ba41602ad,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4338,1,1084,399,23.2354984283447,42.4365119934082
b76d4ecd-f3c7-4af1-ab0c-5b099fb844e6,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3462,2,888,143,19.4468536376953,5.6534538269043
09feae53-a914-4b29-be6c-ceea5d5b752c,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4467,2,582,220,9.32523727416992,17.5236968994141
1d820a32-aa21-433f-b211-48141c78ccfb,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3298,1,950,451,18.9786243438721,49.0514068603516
84720984-ec0b-47bc-87ef-38c15e27e5bb,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3582,2,620,72,null,null
db81aec8-75d6-4035-a5c7-14a5f055dcd6,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3526,2,692,85,null,null
bad4670e-aa65-4a0f-8cb8-d45b5254e461,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4481,2,659,361,11.0822868347168,37.434986114502
c5447b5e-b423-4a04-aa79-c077bbcad09a,5615740e-24ac-46dd-836a-b6197bfe90ae,2500,104.166666666667,[],null,2025-10-26 08:22:51.21202+00,full,0,0,false,player,3410,1,627,147,11.0526390075684,6.28898525238037
f8e51e74-3bbc-44f1-9a4d-de5efcf909b7,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4422,1,1008,272,22.0990390777588,25.1275253295898
e7a94b49-68eb-4f96-9d26-f14117fad77c,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,3991,2,189,623,null,null
660c0b7f-8cda-4106-96b3-fc239cc61e5a,19649b2c-71ea-4590-a90e-41d2a130dd2e,2500,104.166666666667,[],null,2025-10-26 10:32:00.461526+00,full,0,0,false,player,4353,1,843,225,17.4027538299561,18.2688007354736
