frame,timestamp,tracker_id,jersey,team_id,player_name,video_x,video_y,pitch_x,pitch_y,board_x,board_y,confidence
3,0.12,6,21,2be1da66-3051-4084-afe3-b11250e3827b,Player 21,856.7610473632812,538.6802368164062,9080.365234375,6468.29833984375,908.0365600585938,739.2340698242188,0.9407871961593628
3,0.12,2,22,2be1da66-3051-4084-afe3-b11250e3827b,Player 22,225.76547241210938,563.3270874023438,7656.91162109375,9163.9775390625,765.691162109375,770.0,0.9274205565452576
3,0.12,3,23,2be1da66-3051-4084-afe3-b11250e3827b,Player 23,1100.42529296875,352.19580078125,9782.775390625,3200.3076171875,978.2775268554688,365.74945068359375,0.9241559505462646
3,0.12,7,1,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,James Wilson,440.0975341796875,331.8314208984375,7694.62646484375,5532.4130859375,769.462646484375,632.2757568359375,0.9224816560745239
3,0.12,16,2,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Player 2,681.232177734375,335.01800537109375,8644.076171875,4380.96728515625,864.4076538085938,500.6819763183594,0.9223109483718872
3,0.12,11,3,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Player 3,915.8395385742188,371.46661376953125,9316.033203125,4158.392578125,931.6033325195312,475.244873046875,0.9201750159263611
3,0.12,4,24,2be1da66-3051-4084-afe3-b11250e3827b,Player 24,1018.462158203125,380.0281982421875,9549.068359375,3961.0986328125,954.9068603515625,452.6969909667969,0.9199565052986145
3,0.12,10,25,2be1da66-3051-4084-afe3-b11250e3827b,Player 25,482.45184326171875,305.6058654785156,7788.5361328125,4702.6162109375,778.8536376953125,537.4418334960938,0.9153556227684021
3,0.12,8,26,2be1da66-3051-4084-afe3-b11250e3827b,Player 26,860.4246215820312,369.33905029296875,9175.7216796875,4320.21337890625,917.5722045898438,493.7386779785156,0.9058471918106079
3,0.12,9,27,2be1da66-3051-4084-afe3-b11250e3827b,Player 27,998.635986328125,311.36676025390625,9617.7841796875,2646.781982421875,961.7784423828125,302.4893798828125,0.9052350521087646
3,0.12,14,28,2be1da66-3051-4084-afe3-b11250e3827b,Player 28,435.390625,391.5560302734375,7871.3271484375,6573.14990234375,787.1327514648438,751.2171630859375,0.9041826725006104
3,0.12,17,4,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,David Chen,299.19622802734375,485.92333984375,7671.33740234375,8302.8232421875,767.1337280273438,770.0,0.9037936925888062
3,0.12,12,29,2be1da66-3051-4084-afe3-b11250e3827b,Player 29,1137.152587890625,437.7341003417969,9704.2197265625,4471.7587890625,970.4219970703125,511.0581359863281,0.9019726514816284
3,0.12,15,5,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Ryan Smith,530.1045532226562,309.03271484375,8017.10546875,4526.05517578125,801.7105712890625,517.263427734375,0.9010058641433716
3,0.12,19,6,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Player 6,1074.45068359375,344.11883544921875,9740.236328125,3120.791748046875,974.0236206054688,356.66192626953125,0.8956820368766785
3,0.12,13,7,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Player 7,844.069091796875,367.4140319824219,9133.5703125,4346.62890625,913.3570556640625,496.7575988769531,0.8894621133804321
3,0.12,20,8,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Player 8,414.4674987792969,407.4912414550781,7839.69189453125,6899.72705078125,783.9691772460938,770.0,0.8802335262298584
3,0.12,18,9,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Alex Rodriguez,416.78546142578125,370.81500244140625,7736.73291015625,6364.99462890625,773.6732788085938,727.427978515625,0.8801731467247009
3,0.12,22,30,2be1da66-3051-4084-afe3-b11250e3827b,Player 30,636.264892578125,355.0317687988281,8508.55078125,4978.71142578125,850.8551025390625,568.99560546875,0.826828122138977
3,0.12,23,10,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Marcus Johnson,626.6303100585938,362.38836669921875,8483.943359375,5156.85107421875,848.3943481445312,589.3544311523438,0.8229072690010071
3,0.12,-1,BALL,,Ball,1010.1058959960938,382.2332763671875,9526.9150390625,4025.53515625,952.6915283203125,460.0611572265625,0.8205369114875793
4,0.16,6,21,2be1da66-3051-4084-afe3-b11250e3827b,Player 21,854.852294921875,537.9345092773438,8039.83544921875,5734.06103515625,803.9835815429688,655.3212890625,0.9312779307365417
4,0.16,4,24,2be1da66-3051-4084-afe3-b11250e3827b,Player 24,1017.0357666015625,380.29998779296875,8276.1123046875,3338.508056640625,827.6112670898438,381.5437927246094,0.9245738983154297
4,0.16,3,23,2be1da66-3051-4084-afe3-b11250e3827b,Player 23,1097.809814453125,352.51788330078125,8681.92578125,2719.0791015625,868.1925659179688,310.75189208984375,0.9242767095565796
4,0.16,2,22,2be1da66-3051-4084-afe3-b11250e3827b,Player 22,221.8345184326172,564.7974243164062,5600.83056640625,5893.7998046875,560.0830688476562,673.5771484375,0.9229888319969177
4,0.16,7,1,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,James Wilson,438.65875244140625,332.1361389160156,4739.75146484375,2653.55908203125,473.97515869140625,303.2638854980469,0.919938862323761
4,0.16,11,3,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Player 3,915.0895385742188,372.5285949707031,7621.1083984375,3224.9677734375,762.11083984375,368.5677490234375,0.9181798696517944
4,0.16,16,2,e1235fa0-0f06-4aa8-b9ee-71a360d3a982,Player 2,677.991455078125,334.8730163574219,6007.49658203125,2579.24755859375,600.7496948242188,294.7711486816406,0.9129665493965149
